index,poem
11,"arz-e-niyāz-e-ishq ke qābil nahīñ rahā 
jis dil pe naaz thā mujhe vo dil nahīñ rahā 
jaatā huuñ dāġh-e-hasrat-e-hastī liye hue 
huuñ sham-e-kushta dar-ḳhur-e-mahfil nahīñ rahā 
marne kī ai dil aur hī tadbīr kar ki maiñ 
shāyān-e-dast-o-bāzū-e-qātil nahīñ rahā 
bar-rū-e-shash-jahat dar-e-ā.īna baaz hai 
yaañ imtiyāz-e-nāqis-o-kāmil nahīñ rahā 
vā kar diye haiñ shauq ne band-e-naqāb-e-husn 
ġhair-az-nigāh ab koī haa.il nahīñ rahā 
go maiñ rahā rahīn-e-sitam-hā-e-rozgār 
lekin tire ḳhayāl se ġhāfil nahīñ rahā 
dil se havā-e-kisht-e-vafā miT ga.ī ki vaañ 
hāsil sivā.e hasrat-e-hāsil nahīñ rahā 
bedād-e-ishq se nahīñ Dartā magar 'asad' 
jis dil pe naaz thā mujhe vo dil nahīñ rahā 
har-chand maiñ huuñ tūti-e-shīrīñ-suḳhan vale 
ā.īna aah mere muqābil nahīñ rahā 
jāñ-dād-gāñ kā hausla fursat-gudāz hai 
yaañ arsa-e-tapīdan-e-bismil nahīñ rahā 
huuñ qatra-zan ba-vādī-e-hasrat shabāna roz 
juz tār-e-ashk jāda-e-manzil nahīñ rahā 
ai aah merī ḳhātir-e-vābasta ke sivā 
duniyā meñ koī uqda-e-mushkil nahīñ rahā 
andāz-e-nāla yaad haiñ sab mujh ko par 'asad' 
jis dil pe naaz thā mujhe vo dil nahīñ rahā"
12,"'asad' ham vo junūñ-jaulāñ gadā-e-be-sar-o-pā haiñ 
ki hai sar-panja-e-mizhgān-e-āhū pusht-ḳhār apnā"
13,"az-mehr tā-ba-zarra dil-o-dil hai aa.ina 
tuutī ko shash-jihat se muqābil hai aa.ina 
hairat hujūm-e-lazzat-e-ġhaltānī-e-tapish 
sīmāb-e-bālish o kamar-e-dil hai aa.ina 
ġhaflat ba-bāl-e-jauhar-e-shamshīr par-fishāñ 
yaañ pusht-e-chashm-e-shoḳhī-e-qātil hai aa.ina 
hairat-nigāh-e-barq-e-tamāshā bahār-e-shoḳh 
dar-parda-e-havā par-e-bismil hai aa.ina 
yaañ rah ga.e haiñ nāḳhun-e-tadbīr TuuT kar 
jauhar-tilism-e-uqda-e-mushkil hai aa.ina 
ham-zānū-e-ta.ammul o ham-jalva-gāh-e-gul 
ā.īna-band ḳhalvat-o-mahfil hai aa.ina 
dil kār-gāh-e-fikr o 'asad' be-navā-e-dil 
yaañ sañg-e-āstāna-e-'bedil' hai aa.ina"
14,"ba-nāla hāsil-e-dil-bastagī farāham kar 
matā-e-ḳhāna-e-zanjīr juz sadā ma.alūm 
ba-qadr-e-hausla-e-ishq jalva-rezī hai 
vagarna ḳhāna-e-ā.īna kī fazā ma.alūm 
'asad' farefta-e-intiḳhāb-e-tarz-e-jafā 
vagarna dilbarī-e-vāda-e-vafā ma.alūm"
15,"baaġh pā kar ḳhafaqānī ye Darātā hai mujhe 
sāya-e-shāḳh-e-gul af.ī nazar aatā hai mujhe 
jauhar-e-teġh ba-sar-chashma-e-dīgar mālūm 
huuñ maiñ vo sabza ki zahrāb ugātā hai mujhe 
mudda.ā mahv-e-tamāshā-e-shikast-e-dil hai 
ā.ina-ḳhāna meñ koī liye jaatā hai mujhe 
naala sarmāya-e-yak-ālam o aalam kaf-e-ḳhāk 
āsmāñ baiza-e-quamrī nazar aatā hai mujhe 
zindagī meñ to vo mahfil se uThā dete the 
dekhūñ ab mar ga.e par kaun uThātā hai mujhe 
baaġh tujh bin gul-e-nargis se Darātā hai mujhe 
chāhūñ gar sair-e-chaman aañkh dikhātā hai mujhe 
shor-e-timsāl hai kis rashk-e-chaman kā yā rab 
aa.ina baiza-e-bulbul nazar aatā hai mujhe 
hairat-e-ā.ina anjām-e-junūñ huuñ jyuuñ sham.a 
kis qadar dāġh-e-jigar shola uThātā hai mujhe 
maiñ huuñ aur hairat-e-jāved magar zauq-e-ḳhayāl 
ba-fusūn-e-nigah-e-nāz satātā hai mujhe 
hairat-e-fikr-e-suḳhan sāz-e-salāmat hai 'asad' 
dil pas-e-zānū-e-ā.īna biThātā hai mujhe"
16,"bāzīcha-e-atfāl hai duniyā mire aage 
hotā hai shab-o-roz tamāshā mire aage 
ik khel hai aurañg-e-sulaimāñ mire nazdīk 
ik baat hai ejāz-e-masīhā mire aage 
juz naam nahīñ sūrat-e-ālam mujhe manzūr 
juz vahm nahīñ hastī-e-ashiyā mire aage 
hotā hai nihāñ gard meñ sahrā mire hote 
ghistā hai jabīñ ḳhaak pe dariyā mire aage 
mat pūchh ki kyā haal hai merā tire pīchhe 
tū dekh ki kyā rañg hai terā mire aage 
sach kahte ho ḳhud-bīn o ḳhud-ārā huuñ na kyuuñ huuñ 
baiThā hai but-e-ā.ina-sīmā mire aage 
phir dekhiye andāz-e-gul-afshānī-e-guftār 
rakh de koī paimāna-e-sahbā mire aage 
nafrat kā gumāñ guzre hai maiñ rashk se guzrā 
kyūñkar kahūñ lo naam na un kā mire aage 
īmāñ mujhe roke hai jo khīñche hai mujhe kufr 
ka.aba mire pīchhe hai kalīsā mire aage 
āshiq huuñ pa māshūq-farebī hai mirā kaam 
majnūñ ko burā kahtī hai lailā mire aage 
ḳhush hote haiñ par vasl meñ yuuñ mar nahīñ jaate 
aa.ī shab-e-hijrāñ kī tamannā mire aage 
hai maujzan ik qulzum-e-ḳhūñ kaash yahī ho 
aatā hai abhī dekhiye kyā kyā mire aage 
go haath ko jumbish nahīñ āñkhoñ meñ to dam hai 
rahne do abhī sāġhar-o-mīnā mire aage 
ham-pesha o ham-mashrab o hamrāz hai merā 
'ġhālib' ko burā kyuuñ kaho achchhā mire aage"
17,"bahut sahī ġham-e-gītī sharāb kam kyā hai 
ġhulām-e-sāqī-e-kausar huuñ mujh ko ġham kyā hai 
tumhārī tarz-o-ravish jānte haiñ ham kyā hai 
raqīb par hai agar lutf to sitam kyā hai 
suḳhan meñ ḳhāma-e-ġhālib kī ātish-afshānī 
yaqīñ hai ham ko bhī lekin ab us meñ dam kyā hai 
kaTe to shab kaheñ kaaTe to saañp kahlāve 
koī batāo ki vo zulf-e-ḳham-ba-ḳham kyā hai 
likhā kare koī ahkām-e-tāla-e-maulūd 
kise ḳhabar hai ki vaañ jumbish-e-qalam kyā hai 
na hashr-o-nashr kā qaa.el na kesh o millat kā 
ḳhudā ke vāste aise kī phir qasam kyā hai 
vo dād-o-dīd garāñ-māya shart hai hamdam 
vagarna mehr-e-sulaimān-o-jām-e-jam kyā hai"
18,"balā se haiñ jo ye pesh-e-nazar dar-o-dīvār 
nigāh-e-shauq ko haiñ bāl-o-par dar-o-dīvār 
vufūr-e-ashk ne kāshāne kā kiyā ye rañg 
ki ho ga.e mire dīvār-o-dar dar-o-dīvār 
nahīñ hai saaya ki sun kar naved-e-maqdam-e-yār 
ga.e haiñ chand qadam pesh-tar dar-o-dīvār 
huī hai kis qadar arzāni-e-mai-e-jalva 
ki mast hai tire kūche meñ har dar-o-dīvār 
jo hai tujhe sar-e-saudā-e-intizār to aa 
ki haiñ dukān-e-matā-e-nazar dar-o-dīvār 
hujūm-e-girya kā sāmān kab kiyā maiñ ne 
ki gir paḌe na mire paañv par dar-o-dīvār 
vo aa rahā mire ham-sā.e meñ to saa.e se 
hue fidā dar-o-dīvār par dar-o-dīvār 
nazar meñ khaTke hai bin tere ghar kī ābādī 
hamesha rote haiñ ham dekh kar dar-o-dīvār 
na pūchh be-ḳhudi-e-aish-e-maqdam-e-sailāb 
ki nāchte haiñ paḌe sar-ba-sar dar-o-dīvār 
na kah kisī se ki 'ġhālib' nahīñ zamāne meñ 
harīf-e-rāz-e-mohabbat magar dar-o-dīvār"
19,"barshikāl-e-girya-e-āshiq hai dekhā chāhiye 
khil ga.ī mānind-e-gul sau jā se dīvār-e-chaman 
ulfat-e-gul se ġhalat hai dāva-e-vārastagī 
sarv hai bā-vasf-e-āzādī giraftār-e-chaman 
saaf hai az bas-ki aks-e-gul se gulzār-e-chaman 
jānashīn-e-jauhar-e-ā.īna hai ḳhār-e-chaman 
hai nazākat bas ki fasl-e-gul meñ me.amār-e-chaman 
qālib-e-gul meñ Dhalī hai ḳhisht-e-dīvār-e-chaman 
terī ārā.ish kā istiqbāl kartī hai bahār 
jauhar-e-ā.īna hai yaañ naqsh-e-ehzār-e-chaman 
bas ki paa.ī yaar kī rañgīñ-adā.ī se shikast 
hai kulāh-e-nāz-e-gul bar tāq-e-dīvār-e-chaman 
vaqt hai gar bulbul-e-miskīñ zuleḳhā.i kare 
yūsuf-e-gul jalva-farmā hai ba-bāzār-e-chaman 
vahshat-afzā girya-hā mauqūf-e-fasl-e-gul 'asad' 
chashm-e-dariyā-rez hai mīzāb-e-sarkār-e-chaman"
20,"bas-ki dushvār hai har kaam kā āsāñ honā 
aadmī ko bhī mayassar nahīñ insāñ honā 
girya chāhe hai ḳharābī mire kāshāne kī 
dar o dīvār se Tapke hai bayābāñ honā 
vā-e-dīvāngi-e-shauq ki har dam mujh ko 
aap jaanā udhar aur aap hī hairāñ honā 
jalva az-bas-ki taqāzā-e-nigah kartā hai 
jauhar-e-ā.ina bhī chāhe hai mizhgāñ honā 
ishrat-e-qatl-gah-e-ahl-e-tamannā mat pūchh 
īd-e-nazzāra hai shamshīr kā uryāñ honā 
le ga.e ḳhaak meñ ham dāġh-e-tamannā-e-nashāt 
tū ho aur aap ba-sad-rañg-e-gulistāñ honā 
ishrat-e-pāra-e-dil zaḳhm-e-tamannā khānā 
lazzat-e-rīsh-e-jigar ġharq-e-namak-dāñ honā 
kī mire qatl ke ba.ad us ne jafā se tauba 
haa.e us zūd-pashīmāñ kā pashemāñ honā 
haif us chaar girah kapḌe kī qismat 'ġhālib' 
jis kī qismat meñ ho āshiq kā garebāñ honā"
21,"bazm-e-shāhanshāh meñ ash.ār kā daftar khulā 
rakhiyo yā rab ye dar-e-ganjīna-e-gauhar khulā 
shab huī phir anjum-e-raḳhshanda kā manzar khulā 
is takalluf se ki goyā but-kade kā dar khulā 
garche huuñ dīvāna par kyuuñ dost kā khā.ūñ fareb 
āstīñ meñ dashna pinhāñ haath meñ nashtar khulā 
go na samjhūñ us kī bāteñ go na pā.ūñ us kā bhed 
par ye kyā kam hai ki mujh se vo parī-paikar khulā 
hai ḳhayāl-e-husn meñ husn-e-amal kā sā ḳhayāl 
ḳhuld kā ik dar hai merī gor ke andar khulā 
muñh na khulne par hai vo aalam ki dekhā hī nahīñ 
zulf se baḌh kar naqāb us shoḳh ke muñh par khulā 
dar pe rahne ko kahā aur kah ke kaisā phir gayā 
jitne arse meñ mirā lipTā huā bistar khulā 
kyuuñ añdherī hai shab-e-ġham hai balāoñ kā nuzūl 
aaj udhar hī ko rahegā dīda-e-aḳhtar khulā 
kyā rahūñ ġhurbat meñ ḳhush jab ho havādis kā ye haal 
naama laatā hai vatan se nāma-bar aksar khulā 
us kī ummat meñ huuñ maiñ mere raheñ kyuuñ kaam band 
vāste jis shah ke 'ġhālib' gumbad-e-be-dar khulā"
22,"be-e'tidāliyoñ se subuk sab meñ ham hue 
jitne ziyāda ho ga.e utne hī kam hue 
pinhāñ thā daam saḳht qarīb āshiyān ke 
uḌne na paa.e the ki giraftār ham hue 
hastī hamārī apnī fanā par dalīl hai 
yaañ tak miTe ki aap ham apnī qasam hue 
saḳhtī kashān-e-ishq kī pūchhe hai kyā ḳhabar 
vo log rafta rafta sarāpā alam hue 
terī vafā se kyā ho talāfī ki dahr meñ 
tere sivā bhī ham pe bahut se sitam hue 
likhte rahe junūñ kī hikāyāt-e-ḳhūñ-chakāñ 
har-chand is meñ haath hamāre qalam hue 
allāh re terī tundi-e-ḳhū jis ke biim se 
ajzā-e-nāla dil meñ mire rizq-e-ham hue 
ahl-e-havas kī fat.h hai tark-e-nabard-e-ishq 
jo paañv uTh ga.e vahī un ke alam hue 
naale adam meñ chand hamāre supurd the 
jo vaañ na khiñch sake so vo yaañ aa ke dam hue 
chhoḌī 'asad' na ham ne gadā.ī meñ dil-lagī 
saa.il hue to āshiq-e-ahl-e-karam hue"
23,"bīm-e-raqīb se nahīñ karte vidā-e-hosh 
majbūr yaañ talak hue ai iḳhtiyār haif 
jaltā hai dil ki kyuuñ na ham ik baar jal ga.e 
ai nā-tamāmi-e-nafas-e-shola-bār haif"
24,"bisāt-e-ijz meñ thā ek dil yak qatra ḳhuuñ vo bhī 
so rahtā hai ba-andāz-e-chakīdan sar-nigūñ vo bhī 
rahe us shoḳh se āzurda ham chande takalluf se 
takalluf bartaraf thā ek andāz-e-junūñ vo bhī 
ḳhayāl-e-marg kab taskīñ dil-e-āzurda ko baḳhshe 
mire dām-e-tamannā meñ hai ik said-e-zabūñ vo bhī 
na kartā kaash naala mujh ko kyā mālūm thā hamdam 
ki hogā bā.is-e-afzā.ish-e-dard-e-darūñ vo bhī 
na itnā burrish-e-teġh-e-jafā par naaz farmāo 
mire dariyā-e-be-tābī meñ hai ik mauj-e-ḳhūñ vo bhī 
mai-e-ishrat kī ḳhvāhish sāqi-e-gardūñ se kyā kiije 
liye baiThā hai ik do chaar jām-e-vāzh-gūñ vo bhī 
mire dil meñ hai 'ġhālib' shauq-e-vasl o shikva-e-hijrāñ 
ḳhudā vo din kare jo us se maiñ ye bhī kahūñ vo bhī 
mujhe ma.alūm hai jo tū ne mere haq meñ sochā hai 
kahīñ ho jaa.e jald ai gardish-e-gardūn-e-dūñ vo bhī 
nazar rāhat pe merī kar na va.ada shab ke aane kā 
ki merī ḳhvāb-bandī ke liye hogā fusūñ vo bhī"
25,"chāhiye achchhoñ ko jitnā chāhiye 
ye agar chāheñ to phir kyā chāhiye 
sohbat-e-rindāñ se vājib hai hazar 
jā-e-mai apne ko khīñchā chāhiye 
chāhne ko tere kyā samjhā thā dil 
baare ab is se bhī samjhā chāhiye 
chaak mat kar jaib be-ayyām-e-gul 
kuchh udhar kā bhī ishārā chāhiye 
dostī kā parda hai begānagī 
muñh chhupānā ham se chhoḌā chāhiye 
dushmanī ne merī khoyā ġhair ko 
kis qadar dushman hai dekhā chāhiye 
apnī rusvā.ī meñ kyā chaltī hai sa.ī 
yaar hī hañgāma-ārā chāhiye 
munhasir marne pe ho jis kī umiid 
nā-umīdī us kī dekhā chāhiye 
ġhāfil in mah-tal.atoñ ke vāste 
chāhne vaalā bhī achchhā chāhiye 
chāhte haiñ ḳhūb-rūyoñ ko 'asad' 
aap kī sūrat to dekhā chāhiye"
26,"chaak kī ḳhvāhish agar vahshat ba-uryānī kare 
sub.h ke mānind zaḳhm-e-dil garebānī kare 
jalve kā tere vo aalam hai ki gar kiije ḳhayāl 
dīda-e-dil ko ziyārat-gāh-e-hairānī kare 
hai shikastan se bhī dil naumīd yā rab kab talak 
ābgīna koh par arz-e-girāñ-jānī kare 
mai-kada gar chashm-e-mast-e-nāz se paave shikast 
mū-e-shīsha dīda-e-sāġhar kī mizhgānī kare 
ḳhatt-e-āriz se likhā hai zulf ko ulfat ne ahd 
yak-qalam manzūr hai jo kuchh pareshānī kare"
27,"chashm-e-ḳhūbāñ ḳhāmushī meñ bhī navā-pardāz hai 
surma to kahve ki dūd-e-sho.ala-e-āvāz hai 
paikar-e-ushshāq sāz-e-tāla-e-nā-sāz hai 
naala goyā gardish-e-saiyyāra kī āvāz hai 
dast-gāh-e-dīda-e-ḳhūñ-bār-e-majnūñ dekhnā 
yak-bayābāñ jalva-e-gul farsh-e-pā-andāz hai 
chashm-e-ḳhūbāñ mai-farosh-e-nashshah-zār-e-nāz hai 
surma goyā mauj-e-dūd-e-shola-e-āvāz hai 
hai sarīr-e-ḳhāma rezish-hā-e-istiqbāl-e-nāz 
naama ḳhud paiġhām ko bāl-o-par-e-parvāz hai 
sar-navisht-e-iztirāb-anjāmi-e-ulfat na pūchh 
nāl-e-ḳhāma ḳhār-ḳhār-e-ḳhātir-e-āġhāz hai 
shoḳhi-e-iz.hār ġhair-az-vahshat-e-majnūñ nahīñ 
lailā-e-manī 'asad' mahmil-nashīn-e-rāz hai 
naġhma hai kānoñ meñ us ke nāla-e-murġh-e-asīr 
rishta-e-pā yaañ navā-sāmān-e-band-e-sāz hai 
sharm hai tarz-e-talāsh-e-intiḳhāb-e-yak-nigāh 
iztirāb-e-chashm barpā doḳhta-ġhammāz hai"
28,"daa.im paḌā huā tire dar par nahīñ huuñ maiñ 
ḳhaak aisī zindagī pe ki patthar nahīñ huuñ maiñ 
kyuuñ gardish-e-mudām se ghabrā na jaa.e dil 
insān huuñ piyāla o sāġhar nahīñ huuñ maiñ 
yā-rab zamāna mujh ko miTātā hai kis liye 
lauh-e-jahāñ pe harf-e-mukarrar nahīñ huuñ maiñ 
had chāhiye sazā meñ uqūbat ke vāste 
āḳhir gunāhgār huuñ kāfar nahīñ huuñ maiñ 
kis vāste aziiz nahīñ jānte mujhe 
la.al o zamurrad o zar o gauhar nahīñ huuñ maiñ 
rakhte ho tum qadam mirī āñkhoñ se kyuuñ dareġh 
rutbe meñ mahr-o-māh se kam-tar nahīñ huuñ maiñ 
karte ho mujh ko man.a-e-qadam-bos kis liye 
kyā āsmān ke bhī barābar nahīñ huuñ maiñ 
'ġhālib' vazīfa-ḳhvār ho do shaah ko duā 
vo din ga.e ki kahte the naukar nahīñ huuñ maiñ"
